Hotel,Stars,Room Type,Bed Type,Free Cancellation,Breakfast Included,Check-in Date,Check-out Date,City,Country,Stay Type,Nights,Rooms,Currency,CIT Hotel Price USD,Trip.com Price USD,Booking.com Price USD,vs Trip.com %,vs Booking %
The Ritz-Carlton Hotel Jakarta Pacific Place,5,NULL,1 Double Bed,Yes,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,222.82,257.00,256.00,13.30%,12.96%
Best Western Premier The Hive,5,NULL,2 Single Bed,No,Yes,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,39.94,40.00,43.00,0.15%,7.12%
Manhattan Hotel Jakarta,5,NULL,1 Double Bed,No,Yes,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,56.00,57.00,91.00,1.75%,38.46%
Hotel Gran Mahakam,5,NULL,2 Single Bed,Yes,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,81.26,107.00,100.00,24.06%,18.74%
Swissotel Living Jakarta Mega Kuningan,5,NULL,2 Single Bed,No,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,91.05,114.00,114.00,20.13%,20.13%
Vienna House by Wyndham Andel's Berlin,5,NULL,1 Double Bed,No,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,109.18,186.00,186.00,41.30%,41.30%
Kyoto Tokyu Hotel,5,Standard Room,2 Single Beds,No,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,92.35,140.00,181.00,34.04%,48.98%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,No,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,127.50,195.00,182.00,34.62%,29.95%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,Yes,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,162.00,269.00,227.00,39.78%,28.63%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,144.50,211.00,200.00,31.52%,27.75%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,Yes,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,180.00,294.00,250.00,38.78%,28.00%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,157.50,227.00,216.00,30.62%,27.08%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,157.50,227.00,216.00,30.62%,27.08%
